0	30	-47	17	0	0	17	-47	30	0	
-6	30	-46	17	6	-6	18	-49	31	6	
-11	28	-44	16	11	-11	23	-55	33	11	
-14	27	-42	15	14	-16	28	-62	33	16	
-17	25	-40	15	17	-19	34	-66	32	19	
-18	24	-39	15	18	-20	39	-68	29	20	
-17	24	-41	17	17	-19	40	-65	24	19	
-14	23	-43	20	14	-16	40	-59	19	16	
-11	23	-46	23	11	-11	37	-52	15	11	
-6	21	-48	27	6	-6	33	-47	13	6	
0	17	-47	30	0	0	30	-47	17	0	
0	17	-47	30	0	0	30	-47	17	0	
0	19	-48	29	0	0	29	-48	19	0	
0	21	-48	27	0	0	28	-48	21	0	
0	21	-48	27	0	0	27	-48	21	0	
6	22	-50	28	-6	6	27	-48	21	-6	
11	25	-56	30	-11	11	26	-46	20	-11	
16	30	-62	32	-16	14	24	-43	19	-14	
19	34	-66	33	-19	17	23	-41	18	-17	
20	36	-68	32	-20	18	22	-40	18	-18	
19	37	-66	29	-19	17	20	-41	21	-17	
16	37	-61	23	-16	14	20	-43	23	-14	
11	35	-54	19	-11	11	19	-45	26	-11	
6	31	-49	18	-6	6	17	-46	29	-6	
0	27	-48	21	0	0	12	-45	32	0	
