0	51	-79	28	0	0	28	-79	51	0	
-3	51	-79	29	3	-3	29	-82	53	3	
-6	50	-79	29	6	-6	35	-88	54	6	
-8	48	-78	30	8	-8	43	-96	54	8	
-9	47	-78	31	9	-10	52	-102	50	10	
-10	46	-78	33	10	-11	59	-103	44	11	
-9	44	-79	35	9	-10	63	-99	35	10	
-8	42	-80	38	8	-8	63	-91	28	8	
-6	39	-81	42	6	-6	60	-84	23	6	
-3	35	-81	46	3	-3	56	-79	23	3	
0	28	-79	51	0	0	52	-79	28	0	
0	28	-79	51	0	0	52	-79	28	0	
0	29	-80	51	0	0	51	-79	28	0	
0	29	-80	50	0	0	51	-80	29	0	
0	30	-80	50	0	0	50	-80	30	0	
0	31	-80	50	0	0	50	-80	30	0	
0	31	-81	49	0	0	49	-80	31	0	
0	32	-81	49	0	0	49	-81	32	0	
0	33	-81	48	0	0	48	-81	32	0	
0	33	-81	48	0	0	48	-81	33	0	
0	34	-81	47	0	0	47	-81	34	0	
0	35	-81	47	0	0	47	-81	34	0	
0	35	-82	46	0	0	46	-81	35	0	
0	36	-82	46	0	0	46	-82	36	0	
0	36	-82	46	0	0	46	-82	36	0	
3	37	-84	47	-3	3	45	-81	36	-3	
6	41	-90	49	-6	6	45	-81	36	-6	
8	46	-97	51	-8	8	44	-80	36	-8	
10	51	-102	51	-10	9	43	-79	36	-9	
11	55	-104	49	-11	10	42	-79	37	-10	
10	56	-101	45	-10	9	37	-79	42	-9	
8	58	-95	38	-8	8	35	-80	45	-8	
6	55	-88	32	-6	6	31	-80	48	-6	
3	51	-82	31	-3	3	26	-78	52	-3	
0	46	-82	36	0	0	19	-75	56	0	
